label,youtube_id,time_start,time_end,split
throwing discus,-CdUreNARXU,3,13,train
playing paintball,-Ch536zP_Z8,7,17,train
pull ups,-CvOL6yWg5Y,3,13,train
petting cat,-D03cnNac3g,12,22,train
drinking,-DTR5wQIsUE,23,33,train
carving pumpkin,-DWNUwTH1k8,119,129,train
skiing (not slalom or crosscountry),-DpKexdpFCY,107,117,train
skateboarding,-DsEjAY4MHY,10,20,train
riding elephant,-EBIDrH1sVE,4,14,train
smoking,-EDIE7Ywri0,108,118,train
pumping fist,-EMJAdHvDzA,0,10,train
weaving basket,-EpXU6PfMzY,246,256,train
balloon blowing,-EwnDeu0BFw,21,31,train
snowboarding,-F0Hh-YYbN4,191,201,train
riding elephant,-F7_-pCGbWQ,34,44,train
krumping,-FLC5xHjN_E,21,31,train
cheerleading,-FOzZ9GIbrA,24,34,train
planting trees,-Fax95mvLZc,4,14,train
cutting watermelon,-Fdh0lnvEk4,14,24,train
testifying,-FoTOgyrttQ,19,29,train
playing recorder,-Fsgg1b70d0,17,27,train
skateboarding,-G07ptKbKaM,1,11,train
hopscotch,-GGUO5UqBcs,14,24,train
clean and jerk,-GHljetcig4,8,18,train
playing basketball,-GMkZDHx5jg,11,21,train
scuba diving,-Ga9-7FNb1U,20,30,train
playing paintball,-GbUR6K-Q5M,128,138,train
tying tie,-GnF9V3-nuw,70,80,train
shot put,-HAHIE6QeSc,3,13,train
opening bottle,-HNLNt8O3PM,31,41,train
blowing glass,-HNVoKxrMds,2,12,train
pushing cart,-HcQAhcK66o,1,11,train
skateboarding,-HtS_A9GirY,58,68,train
playing paintball,-HttSia1uHE,175,185,train
shining shoes,-Hz9SzH_XyE,2,12,train
blowing glass,-I3O6EertpQ,215,225,train
swimming breast stroke,-I4Ggi6-QOE,54,64,train
using computer,-I82CJZ9WIk,61,71,train
golf putting,-IOJwNb02fA,60,70,train
long jump,-IrgG_SljXU,16,26,train
dying hair,-JJiyN8fwcI,107,117,train
playing trombone,-JKF526GGzc,226,236,train
using computer,-JMGc_ibakI,53,63,train
passing American football (in game),-JPvnASE7j8,2,12,train
making bed,-JdIM1KZ1zo,32,42,train
playing bass guitar,-JkLDzQPtYI,53,63,train
writing,-Jr4hagX4fY,783,793,train
smoking,-Jt8UtIUgDg,19,29,train
sled dog racing,-K-ITYxzGvY,0,10,train
blowing glass,-K3DsLdyx7w,63,73,train
skiing (not slalom or crosscountry),-K5W5EKlIi8,44,54,train
using computer,-K5rGPJ9RjY,15,25,train
javelin throw,-K7Jnr3_Ef8,58,68,train
petting cat,-K7Vi40ZcR0,0,10,train
surfing crowd,-KSjQxE1QCk,15,25,train
playing paintball,-KSlNTNJDxo,9,19,train
flipping pancake,-K_u_WQx1Ao,1,11,train
riding elephant,-KfO8zXcAbw,3,13,train
skateboarding,-KkkzJ1yWHE,300,310,train
smoking,-KmI1S3A9Rc,252,262,train
riding mule,-KoKGwdlWxA,41,51,train
windsurfing,-L-cr_aSSSE,2,12,train
sled dog racing,-L05Cc8huXg,229,239,train
filling eyebrows,-L6XUFw1n6o,290,300,train
skiing crosscountry,-LG30elsZRg,5,15,train
riding camel,-LHHfaxzj7I,0,10,train
cleaning floor,-LLThrOykZw,32,42,train
air drumming,-LVME0pkaW8,24,34,train
skiing (not slalom or crosscountry),-Lmz43iEHa4,41,51,train
pushing cart,-LsOrwYC32w,2,12,train
picking fruit,-M1W0Zj52T8,27,37,train
snowboarding,-MQMUIUkw0I,157,167,train
driving car,-MVb_xJglWU,8,18,train
riding camel,-MoQEuZbzDY,68,78,train
skateboarding,-MqXp8AGJw4,72,82,train
smoking,-N4zRqR3Gqo,0,10,train
dunking basketball,-N65QD2tBcU,4,14,train
cooking chicken,-N69Jdzk6B4,286,296,train
balloon blowing,-N7kI-yNGDU,11,21,train
swimming breast stroke,-NCg1gBzQF8,20,30,train
passing American football (in game),-NDjrUWajm0,4,14,train
barbequing,-NKy_8ynrKs,82,92,train
washing feet,-NSrZ0sbFmw,14,24,train
waxing eyebrows,-NT8qdrpcx0,27,37,train
trapezing,-Nct3SAax-8,8,18,train
smoking,-Nd6v_JKd6I,43,53,train
playing volleyball,-O-ak1iYvGw,147,157,train
golf putting,-O7FT-eIkA4,823,833,train
playing ice hockey,-OFWLf1OOzg,1160,1170,train
massaging feet,-OG3oX9peUU,350,360,train
water skiing,-OUKBSi7NCs,83,93,train
dancing charleston,-OXXFtHNTIg,0,10,train
juggling soccer ball,-OvAZRMaLPo,1,11,train
waiting in line,-P3Xo6aOe_c,149,159,train
opening bottle,-P5ijO1hEzY,93,103,train
skydiving,-PFm3Yfl1Js,311,321,train
crying,-PNcaCDLaFw,9,19,train
peeling apples,-PSBh7Qbcmc,29,39,train
triple jump,-PX_7ME0Zv4,7,17,train
skateboarding,-PXw4kNnjtI,1,11,train
slapping,-PY7nPHeVx8,27,37,train
pushing cart,-P_CNMYOSFU,2,12,train
throwing axe,-PdYX31q1tg,69,79,train
ski jumping,-Px1WNNJdgs,48,58,train
passing American football (in game),-Pyr483bai8,2,12,train
snowboarding,-QACQuhMlt4,24,34,train
snowboarding,-QAojXhw5UE,0,10,train
presenting weather forecast,-QDuiwp7jvE,19,29,train
throwing discus,-QG2i9zO1ds,17,27,train
barbequing,-QJz_YH0TMA,335,345,train
picking fruit,-QXKPOgbPno,2,12,train
roller skating,-Qa-Pl1PO-8,93,103,train
skiing (not slalom or crosscountry),-Qbfefnzcms,509,519,train
ski jumping,-Qi9hSDBqFI,39,49,train
petting cat,-QlQrBZOY0w,53,63,train
spraying,-Qra6JDfwps,10,20,train
presenting weather forecast,-Qzp1teT7j0,0,10,train
skateboarding,-R4z88ZvLCA,64,74,train
braiding hair,-R8Bk4an_TM,85,95,train
cleaning floor,-RBgCGI3eT8,36,46,train
making snowman,-RNxKQo-e_0,0,10,train
pumping fist,-RYRTMgVVsU,0,10,train
playing poker,-RhSMyvSxQA,0,10,train
blasting sand,-S3q1fQtVmY,353,363,train
playing kickball,-SGc-osF_VM,12,22,train
petting cat,-SH4SlhSki0,6,16,train
playing xylophone,-SIJLK07FM0,36,46,train
dying hair,-SLtRz-WHa0,634,644,train
cleaning floor,-SPQRdR4MY4,33,43,train
tying tie,-SWbxuHaEEc,125,135,train
passing American football (in game),-S_ZGBv_f3c,10,20,train
writing,-Sdf12feD2g,79,89,train
riding elephant,-SeJQZQSt0M,37,47,train
filling eyebrows,-T2OYqcAM40,222,232,train
skiing (not slalom or crosscountry),-T5iLC1Bm0g,213,223,train
catching or throwing softball,-TAD4L8ceww,3,13,train
swimming backstroke,-TAgg26z4HI,172,182,train
shearing sheep,-THy26ByCKA,348,358,train
riding mountain bike,-TIaUgzjipU,45,55,train
riding elephant,-TItfMkZpXo,4,14,train
punching bag,-TJliuI2obY,3,13,train
riding mountain bike,-TPmU1AQae0,74,84,train
sled dog racing,-TVuracgeEY,302,312,train
ice climbing,-Tc_jXvqZ4M,158,168,train
presenting weather forecast,-TjobiLNiBk,0,10,train
dying hair,-TmPgEIQh1I,213,223,train
cooking chicken,-ToYMwdP3l8,146,156,train
roller skating,-TpY2n3W2vo,249,259,train
riding elephant,-Tr7AZF8aIY,24,34,train
air drumming,-U2frOP59dc,16,26,train
using computer,-UExSY3duRU,48,58,train
snatch weight lifting,-UJ8ilIJ48c,2,12,train
smoking,-URHu4uVyL8,4,14,train
playing cymbals,-UklpApNST8,115,125,train
playing cymbals,-Und_tFkqWs,1,11,train
playing recorder,-UtKEXwM7MY,21,31,train
taking a shower,-Uw4wvxhjqk,1,11,train
air drumming,-VICCY1B1K0,10,20,train
using computer,-Vcbmjw6AC0,37,47,train
snowboarding,-Vro-aRtfuw,140,150,train
salsa dancing,-VroFE1VY00,15,25,train
air drumming,-VtLx-mcPds,12,22,train
whistling,-Vx-l8CjMDg,0,10,train
vault,-W0QWhixyCk,8,18,train
baking cookies,-W53pl92itE,242,252,train
pumping fist,-W9vw2vxlMY,0,10,train
filling eyebrows,-WEXdau-Mz4,81,91,train
dunking basketball,-WKIoIK_CTk,41,51,train
cooking chicken,-WKXzXGaKzE,224,234,train
counting money,-WVXLhiSMg0,27,37,train
brushing hair,-WVr7-b14fw,444,454,train
filling eyebrows,-WesM6ZQj-I,205,215,train
ice fishing,-WhyUj4zd2c,4,14,train
playing keyboard,-WxSY9sL3qo,53,63,train
sanding floor,-WxkgV-aKOM,105,115,train
ice skating,-X2BHQ8PHow,143,153,train
exercising arm,-XOBNO_l2hM,6,16,train
riding a bike,-XOcfxOv27Y,82,92,train
laughing,-XWjsz_0_OE,31,41,train
curling hair,-XfgcDQQ9AY,158,168,train
massaging back,-Xi4uPg5aAM,25,35,train
shaving head,-Y8ctlghlWM,86,96,train
golf driving,-YBrw6cDVEE,57,67,train
playing tennis,-YGnDKPOEd4,310,320,train
cooking chicken,-YNnVtZTh0g,67,77,train
ice skating,-YR6wDytCCc,0,10,train
blowing glass,-YWO_P7-NgA,134,144,train
catching or throwing softball,-YXeu9rqc90,2,12,train
washing hands,-Z-zFKGPJB0,2,12,train
skateboarding,-Z22B2ldsz0,79,89,train
singing,-Z7f9FsEGKI,92,102,train
making bed,-ZJW6ORJNi0,65,75,train
dancing ballet,-ZR-O05EOB4,22,32,train
cooking chicken,-Zedueym2Fo,42,52,train
making bed,-Zqy82Ro8SE,194,204,train
building cabinet,-ZttIy-2Wn4,574,584,train
balloon blowing,-_1WRslPhMo,173,183,train
disc golfing,-_7PMt0I2Fg,61,71,train
surfing crowd,-_DT5rxrVjk,107,117,train
air drumming,-_boW-NO5pU,117,127,train
riding mountain bike,-_pQTtTQ2FU,143,153,train
riding elephant,-_sZfHi_G7c,52,62,train
picking fruit,-_xug6P1f5Y,56,66,train
shaving head,-_yMIHVxP_A,29,39,train
tying tie,-a6SxoCScCg,397,407,train
punching person (boxing),-a7LkX6d2EM,0,10,train
skiing (not slalom or crosscountry),-aJCRHXb0tA,677,687,train
swimming backstroke,-aMDT2_KljM,25,35,train
snowboarding,-aO8qh7-wrc,87,97,train
using computer,-aQ2sfsYbQ0,111,121,train
sled dog racing,-acZ6mX_-nA,281,291,train
skiing (not slalom or crosscountry),-anAg1F_95A,160,170,train
catching or throwing softball,-aySpzKC0-k,4,14,train
barbequing,-b8syEYyYV0,75,85,train
golf chipping,-bPfpYQ1CQI,79,89,train
making jewelry,-blhADHw0Og,16,26,train
smoking,-c76cWETzm0,99,109,train
swimming backstroke,-cAfxH1WnPo,81,91,train
flying kite,-cMsP8DzCls,19,29,train
catching or throwing frisbee,-cX_BviOBDQ,31,41,train
front raises,-ccRoA1lPi0,6,16,train
air drumming,-cfwqyJGnt0,2,12,train
playing paintball,-cjfVN5zZ0M,82,92,train
jumping into pool,-cmr6humS1Y,54,64,train
pumping fist,-coeq0syJYU,7,17,train
tapping pen,-cqvQ7Pzqpk,3,13,train
tying tie,-d4yuGuednI,6,16,train
pole vault,-dRAaQs6Qg4,0,10,train
pumping fist,-dRVgGiwt8E,1,11,train
dying hair,-d_uc-ryKz8,181,191,train
air drumming,-dglCzcubsw,246,256,train
skiing (not slalom or crosscountry),-dn2ClOzfDM,39,49,train
presenting weather forecast,-do4D3M20aM,4,14,train
cooking chicken,-dykWXNvAPw,12,22,train
swimming backstroke,-e8Kjl_bKgg,76,86,train
opening bottle,-eFMN5GcpSc,70,80,train
air drumming,-eGnPDG5Pxs,53,63,train
making bed,-eNob5dRnrY,312,322,train
holding snake,-e_t-PH4AOM,196,206,train
picking fruit,-ec8_c6pHw8,120,130,train
carrying baby,-ekpqs0b6KA,75,85,train
somersaulting,-eqU7IfCqTY,78,88,train
stretching arm,-ezgahciJD0,1,11,train
windsurfing,-f-S0HuaLZQ,31,41,train
windsurfing,-f9NwpQDJQg,48,58,train
cleaning floor,-fDFJ6duikg,49,59,train
skiing (not slalom or crosscountry),-fKR5EHKRAk,197,207,train
skiing (not slalom or crosscountry),-fKhmHdcpTc,37,47,train
kitesurfing,-fTTbtnm3hc,147,157,train
air drumming,-fTmHyOG-CY,0,10,train
jetskiing,-fXVYU2uO8w,27,37,train
disc golfing,-faKuDUKkdw,4,14,train
making snowman,-fdmnzySFiQ,0,10,train
shaving head,-fmDNNv1E1Q,186,196,train
presenting weather forecast,-g25DqskpqU,2,12,train
crying,-g9TIDtHVOA,257,267,train
gymnastics tumbling,-gCD_Lp9aLs,4,14,train
playing ice hockey,-gFXx4UHLVA,3,13,train
playing paintball,-gGlM-B7Tkw,65,75,train
braiding hair,-gM-cqwvFJ4,485,495,train
cooking chicken,-gRYGmwgGd4,94,104,train
springboard diving,-gZxByKDaWk,97,107,train
making bed,-gdIj0lzvt4,6,16,train
ski jumping,-ge-jtX1Ik0,10,20,train
welding,-genJfLPizE,95,105,train
deadlifting,-gh-4j3us3I,18,28,train
waxing legs,-girKbUcjbM,51,61,train
drinking,-gmCbukFNco,255,265,train
windsurfing,-grt8pXnCAs,9,19,train
drinking,-gv2GpdS7EI,9,19,train
pushing cart,-gxmZpZzlQU,1,11,train
windsurfing,-hJSyonK-Bg,24,34,train
gymnastics tumbling,-hVnrChn_lo,0,10,train
pole vault,-hb1JUikoTk,160,170,train
passing American football (in game),-hdRoSKYdIs,2,12,train
skiing (not slalom or crosscountry),-heNc38TpNI,187,197,train
swimming breast stroke,-hhn5YcmkOE,3,13,train
braiding hair,-hkZKPK2D50,1927,1937,train
presenting weather forecast,-hlAfZNh-uU,1,11,train
windsurfing,-hmpR3P-TMc,46,56,train
blowing glass,-htW2doHVEE,128,138,train
playing bass guitar,-hvXrI1Ufcs,169,179,train
swimming backstroke,-i55Qjgcucw,3,13,train
bandaging,-iAt-PFC52M,81,91,train
cleaning floor,-iEMrZ0j3UI,13,23,train
picking fruit,-iFTaj2NjwI,99,109,train
pushing car,-iMx-0g3A9k,28,38,train
folding napkins,-ibEWRNi1Cc,24,34,train
pumping fist,-ii73EULi9g,73,83,train
skiing (not slalom or crosscountry),-ikF29XEJ_M,103,113,train
waxing eyebrows,-ipqEXc3mw0,58,68,train
skateboarding,-j3ZyqgF0Us,23,33,train
skateboarding,-jC8fWwWoo4,59,69,train
filling eyebrows,-jD6Q23D9Q0,28,38,train
playing poker,-jGxlNQKkeo,92,102,train
feeding fish,-jJvz1Ul23o,6,16,train
playing basketball,-jKbRfWxLYU,26,36,train
playing bass guitar,-jRZmzJIwNw,12,22,train
skiing (not slalom or crosscountry),-jaztOANmrw,8,18,train
sled dog racing,-jcd5Yx1xKw,305,315,train
blowing glass,-jkWjEKwLRA,546,556,train
playing bass guitar,-js8tMwwM0s,644,654,train
scuba diving,-jsV94EjhKg,138,148,train
blowing glass,-jxEnECmUFY,45,55,train
gymnastics tumbling,-k4lBf6A6v8,2,12,train
parkour,-kH9k0r3TJQ,40,50,train
air drumming,-kL508ohBoo,1,11,train
taking a shower,-kM4fYs2z6g,0,10,train
playing badminton,-kPkzNK3Xxw,39,49,train
canoeing or kayaking,-kRblb6nuIk,70,80,train
ski jumping,-kZa3gn6ojw,3,13,train
pushing cart,-kcoozGXEJk,0,10,train
riding elephant,-ke3Rv7nUTI,10,20,train
brushing hair,-keDcgUmoTg,719,729,train
riding unicycle,-koK3VgCRbE,195,205,train
golf putting,-kwBcs0-DdQ,36,46,train
hugging,-kzEHdGkFMc,5,15,train
stretching leg,-lAMMQFfoso,6,16,train
vault,-lO_5910B1g,15,25,train
playing paintball,-lOoP8UsUwE,1,11,train
windsurfing,-lPPpRFXn_0,46,56,train
windsurfing,-lPch7MnHRc,6,16,train
filling eyebrows,-lYpwvV3Wos,59,69,train
swinging legs,-lZZvkyRZws,2,12,train
barbequing,-lskrfFH45s,41,51,train
picking fruit,-lvzCHLAEtQ,359,369,train
swinging legs,-m1GUW4Hcao,4,14,train
cheerleading,-m5R_bYmXGw,2,12,train
trimming or shaving beard,-mLZQ7a6sRg,132,142,train
picking fruit,-mPOZ2pvyRU,32,42,train
riding elephant,-mQv93RpSpY,1,11,train
dunking basketball,-mTbmJydTaM,498,508,train
picking fruit,-mTi-57hNuw,29,39,train
skateboarding,-mW51TyFxlg,24,34,train
high jump,-meoRkRbhRc,32,42,train
skateboarding,-mkcnkZXybY,61,71,train
playing bass guitar,-myCf0EqkuA,173,183,train
playing harp,-mzDQcugYaU,343,353,train
picking fruit,-n5JEmTInzM,22,32,train
push up,-n9bWTD0gBs,38,48,train
riding elephant,-nAsMzrGKds,0,10,train
playing bass guitar,-nGghXnUBYE,86,96,train
triple jump,-nHjW0ifdi8,17,27,train
playing bass guitar,-nRibTFRHJo,149,159,train
yoga,-nZg1AbPAkg,367,377,train
air drumming,-ni1UWaBmL0,56,66,train
using computer,-nkszUBkdw0,168,178,train
pushing cart,-nmm2KT7uNU,153,163,train
picking fruit,-nvFKzOKsxs,27,37,train
pole vault,-nxElRBL0VU,4,14,train
javelin throw,-o6aN6LzOJw,2,12,train
swimming butterfly stroke,-oA1_QvwD1Y,2,12,train
brushing teeth,-oHkM_SFLXo,7,17,train
triple jump,-oOtZEu44vQ,0,10,train
cleaning floor,-oR2zuU_2-k,100,110,train
washing feet,-okhB14Ywok,188,198,train
golf putting,-ol5AnuSsM0,4,14,train
paragliding,-p91kI1gx8s,19,29,train
pushing cart,-pWAEIT0HRo,5,15,train
squat,-pcbipwr64U,21,31,train
hopscotch,-piI1kf8zSE,1,11,train
belly dancing,-q1NFdrisUE,58,68,train
abseiling,-qAC8YY5F1Q,40,50,train
balloon blowing,-qADuqdh5_o,2,12,train
welding,-qGtvI0XRyM,113,123,train
pole vault,-qTq9ozA_K0,3,13,train
balloon blowing,-qYLr9Hy-j4,67,77,train
blowing out candles,-qZfxFH0r4E,50,60,train
blowing glass,-qilGDfOLbM,10,20,train
folding clothes,-qlJmXRti-g,152,162,train
swinging legs,-r0D8uaD1qM,19,29,train
air drumming,-rI2ZqZ5vH0,7,17,train
skateboarding,-rUgxmmZd0o,51,61,train
singing,-rVMqgJiRF0,30,40,train
balloon blowing,-reNwipPPdQ,2,12,train
cleaning floor,-rhi4Ub0FSw,48,58,train
answering questions,-riqtn_niK8,2,12,train
skiing (not slalom or crosscountry),-rj0ldM5glA,31,41,train
blowing nose,-rrPeji49yg,36,46,train
testifying,-rsT9HSBkyI,0,10,train
snowboarding,-sBJpmtIk2U,15,25,train
stretching leg,-sLWfi6UbK8,5,15,train
assembling computer,-sLxWIySYdw,258,268,train
drinking beer,-sPRt-Tq5ng,28,38,train
vault,-slm3JWSt5g,57,67,train
dribbling basketball,-suOVpc5rXc,13,23,train
playing basketball,-t5t28Li8GM,32,42,train
air drumming,-t7I9PRPwQI,5,15,train
abseiling,-tAjeaPhi5s,26,36,train
eating spaghetti,-tFtOb4hxtI,24,34,train
eating doughnuts,-tTDXLTRZwQ,11,21,train
milking cow,-tTErlr0HuI,113,123,train
pushing cart,-tXtmSjL_WI,0,10,train
air drumming,-tXuFVHvRdQ,118,128,train
picking fruit,-tajNaB6B7Y,37,47,train
air drumming,-tcD0doI-vo,1,11,train
tying tie,-tj3gU_fMfU,85,95,train
smoking,-uB3ZOHL0cA,146,156,train
petting cat,-uQEPIgJjO4,50,60,train
strumming guitar,-uTaTugvUfc,68,78,train
skateboarding,-uWC6MYgYEc,2,12,train
pumping fist,-ugRK5Xp-K4,11,21,train
making bed,-uh3xmuIEJE,198,208,train
eating ice cream,-ujutn8Alpw,45,55,train
air drumming,-upUws2YqWk,7,17,train
push up,-uvbGct_e_U,1,11,train
mopping floor,-uzhaclXzdU,0,10,train
playing cricket,-v5_5xhEeg0,1,11,train
pumping fist,-v9MutR8bU4,0,10,train
driving car,-vL0AJPil6E,47,57,train
canoeing or kayaking,-vL9UdfjRTo,178,188,train
ski jumping,-vXdrWqigKg,47,57,train
cooking chicken,-vvUgfNlMwE,145,155,train
riding elephant,-w2cwjTx-ew,25,35,train
skiing (not slalom or crosscountry),-wBzAoBIsJk,31,41,train
riding camel,-wHLbRfZPWM,116,126,train
stretching arm,-wIdz6x0T1c,72,82,train
dying hair,-wr2W1bvbYk,480,490,train
blowing glass,-wsrVyB2zn4,328,338,train
passing American football (in game),-wumVw8WA2Q,7,17,train
pushing cart,-x4Vr_gXCeE,2,12,train
blowing glass,-xF8xqMGdWY,54,64,train
shaking hands,-xRTUbtDuNw,1,11,train
hurdling,-xSHV93aahw,23,33,train
hitting baseball,-xgXmPzW2NM,241,251,train
making snowman,-xhaZDnP5Nc,29,39,train
drinking,-xqh0BXezLI,167,177,train
water skiing,-y03IGpiL_I,4,14,train
springboard diving,-y5p8UMdM20,69,79,train
country line dancing,-yJjlhYseLs,4,14,train
skateboarding,-yPZe1_QOGY,24,34,train
pumping fist,-yTWn1Q1nwQ,8,18,train
pole vault,-yUTgXjvtdA,1,11,train
roller skating,-yYR_384jDE,114,124,train
pushing cart,-z3v5enGvYQ,30,40,train
golf driving,-zHveFE1hus,68,78,train
tying knot (not on a tie),-zID4lhAHqQ,22,32,train
barbequing,-zN1O9ZwjWg,453,463,train
smoking,-zWxPWk-gH4,169,179,train
riding elephant,-zoJdjD91Uk,12,22,train
using computer,-zoL4l3YsWo,38,48,train
golf putting,0-0ytYma0sM,234,244,train
air drumming,0-DC05gGzaI,2,12,train
making a cake,0-MdmB5ahNE,14,24,train
hurdling,0-Z3mrmSQ24,58,68,train
country line dancing,0-pRWlwNAXc,5,15,train
shot put,0-r7swaqMc8,2,12,train
vault,0-rDoto2S8o,3,13,train
riding mountain bike,00-bv7CYBwE,31,41,train
gymnastics tumbling,0083lvylGBs,165,175,train
pushing cart,01-SGvF3zWg,4,14,train
golf chipping,01PhSo0gdcE,121,131,train
tying knot (not on a tie),01Qp-z0T2NE,62,72,train
diving cliff,01VW8hPTvdI,169,179,train
pushing cart,01WKY1mn5FI,0,10,train
taking a shower,01bjsMdVvm0,26,36,train
kicking field goal,01ea5aC-vYA,3,13,train
drinking beer,01jnd0aVqvk,45,55,train
ski jumping,01nnP6k_f_A,10,20,train
smoking,01pCJBEhn08,17,27,train
making snowman,01u1xcOD674,32,42,train
canoeing or kayaking,01xWxFyRuzo,7,17,train
laughing,023vDHQuXBo,23,33,train
cooking chicken,02QplMWeNhU,158,168,train
playing cymbals,02XVBfuCtwE,17,27,train
bungee jumping,02Y60YYUqQk,71,81,train
blowing glass,02hWNmgR08A,52,62,train
cooking chicken,02pEmMBwFME,196,206,train
